"Zeitstempel","Betriebssystem","Programmierkentnisse","Programmiersprachen","Mich interessiert besonders","Mich interessiert außerdem","Weitere Anmerkungen"
"2018/08/01 12:01:16 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++;Java","Zusammenarbeiten / Versionskontrolle mit Git;Qualitativ hochwertige Plots erstellen mit Matplotlib","",""
"2018/08/05 12:22:14 PM OEZ","MacOS","schon mal programmiert, auch in Python","C++;Python","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy","",""
"2018/08/07 12:07:32 PM OEZ","MacOS","schon mal programmiert, aber noch nicht in Python","Java","Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2018/08/07 5:30:10 PM OEZ","Windows","noch nie programmiert","","Versuchsauswertung mit Python / Numpy / Scipy","",""
"2018/08/07 5:42:04 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","Java","Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib","",""
"2018/08/12 1:24:56 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C;C++","Versuchsauswertung mit Python / Numpy / Scipy","",""
"2018/08/16 9:44:33 AM OEZ","Debian/Ubuntu","schon mal programmiert, aber noch nicht in Python","C++;Java","Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2018/08/20 2:07:53 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","Java","Versuchsauswertung mit Python / Numpy / Scipy;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2018/08/26 1:08:44 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","Java","Versuchsauswertung mit Python / Numpy / Scipy","",""
"2018/08/26 3:43:06 PM OEZ","MacOS","schon mal programmiert, aber noch nicht in Python","C++","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2018/08/27 3:47:43 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","Java","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","was das alles überhaupt ist...",""
"2018/08/29 11:17:25 AM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++;Java","Versuchsauswertung mit Python / Numpy / Scipy;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib","",""
"2018/08/30 1:51:06 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++;Java","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2018/08/31 8:08:13 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++;Java","Versuchsauswertung mit Python / Numpy / Scipy;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib","",""
"2018/09/03 1:11:25 AM OEZ","MacOS","schon mal programmiert, auch in Python","C;C++;Python;Java","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2018/09/04 5:43:08 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","Fortran","Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2018/09/05 2:15:04 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","Eclipse","Versuchsauswertung mit Python / Numpy / Scipy","",""
"2018/09/05 10:08:34 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++;JavaScript;Java","Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2018/09/06 11:44:38 AM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++","Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2018/09/07 4:59:59 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++;Java","Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Qualitativ hochwertige Plots erstellen mit Matplotlib","",""
"2018/09/07 7:49:29 PM OEZ","MacOS","schon mal programmiert, aber noch nicht in Python","C++","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2018/09/10 7:54:27 PM OEZ","Windows","noch nie programmiert","","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2018/09/13 3:08:35 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2018/09/15 4:12:26 AM OEZ","Windows","schon mal programmiert, auch in Python","C++;Python;Java","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2018/09/15 2:24:09 PM OEZ","Windows","noch nie programmiert","","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy","",""
"2018/09/15 6:05:17 PM OEZ","Debian/Ubuntu","schon mal programmiert, auch in Python","C;C++;Python;Java;Shakespearean","Automatisierung/Reproduzierbarkeit mit Make","Linux-Magie","Ersti-Ralley am 2.10. Wahrscheinlich ab 15 Uhr."
"2018/09/16 8:47:30 AM OEZ","Windows","schon mal programmiert, auch in Python","Python;Java","Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2018/09/16 12:24:03 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++;Java","Versuchsauswertung mit Python / Numpy / Scipy","",""
"2018/09/16 1:56:49 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++;Java","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2018/09/17 8:41:55 AM OEZ","MacOS","schon mal programmiert, auch in Python","Python","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2018/09/17 9:44:38 AM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","Java","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2018/09/17 7:11:29 PM OEZ","Windows","schon mal programmiert, auch in Python","Python","Versuchsauswertung mit Python / Numpy / Scipy","",""
