"Zeitstempel","Betriebssystem","Programmierkentnisse","Programmiersprachen","Mich interessiert besonders","Mich interessiert außerdem","Weitere Anmerkungen"
"2018/07/13 10:12:26 AM OEZ","Windows","schon mal programmiert, auch in Python","C++;Python","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2018/07/13 11:54:14 AM OEZ","Windows","schon mal programmiert, auch in Python","C++;Python","Versuchsauswertung mit Python / Numpy / Scipy;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2018/07/19 12:06:02 PM OEZ","Windows","schon mal programmiert, auch in Python","C++;Python","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2018/07/19 6:04:38 PM OEZ","Debian/Ubuntu","schon mal programmiert, aber noch nicht in Python","C++;Java","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2018/07/20 11:11:36 AM OEZ","Debian/Ubuntu","schon mal programmiert, auch in Python","C;C++;Python","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2018/07/22 5:47:40 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++","Versuchsauswertung mit Python / Numpy / Scipy;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2018/07/23 9:45:04 PM OEZ","Windows","noch nie programmiert","","Versuchsauswertung mit Python / Numpy / Scipy","",""
"2018/07/26 10:18:25 AM OEZ","MacOS","noch nie programmiert","","Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib","",""
"2018/07/26 3:43:21 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C;C++","Versuchsauswertung mit Python / Numpy / Scipy","",""
"2018/07/30 10:33:46 AM OEZ","Windows","schon mal programmiert, auch in Python","Python","Zusammenarbeiten / Versionskontrolle mit Git;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
