"Zeitstempel","Betriebssystem","Programmierkentnisse","Programmiersprachen","Mich interessiert besonders","Mich interessiert außerdem","Weitere Anmerkungen","Ich möchte zum ""Betreuten Installieren"" kommen"
"2019/07/27 6:02:44 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++","Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","","",""
"2019/07/28 9:50:49 AM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++;JavaScript","Versuchsauswertung mit Python / Numpy / Scipy;Umgang mit der Kommandozeile","","",""
"2019/07/31 7:01:05 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++","Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","","",""
"2019/08/02 10:23:17 AM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C;C++","Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","","",""
"2019/08/06 11:57:19 AM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++","Versuchsauswertung mit Python / Numpy / Scipy","","","Ja"
"2019/08/06 4:24:36 PM OEZ","Windows","schon mal programmiert, auch in Python","C++;Python;Java","Versuchsauswertung mit Python / Numpy / Scipy;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib","","klausuren ( 24 & 25. 09.19)",""
"2019/08/14 12:19:33 PM OEZ","Windows","noch nie programmiert","","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","","","Ja"
"2019/08/14 7:33:11 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","Java","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","","",""
"2019/08/18 11:49:40 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","Java","Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib","","","Ja"
"2019/08/19 12:50:05 PM OEZ","Windows","noch nie programmiert","","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","Ich muss alles lernen ","",""
"2019/08/19 12:50:24 PM OEZ","Windows","noch nie programmiert","","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","","","Ja"
"2019/08/19 3:15:33 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","Java","Versuchsauswertung mit Python / Numpy / Scipy","","","Ja"
"2019/08/20 5:20:12 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","Java","Versuchsauswertung mit Python / Numpy / Scipy;Umgang mit der Kommandozeile","","","Ja"
"2019/08/21 4:48:18 PM OEZ","Debian/Ubuntu","schon mal programmiert, aber noch nicht in Python","JavaScript;Java","Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","","",""
"2019/08/22 5:27:26 PM OEZ","ArchLinux","schon mal programmiert, aber noch nicht in Python","C++","Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","","",""
"2019/08/25 6:29:26 PM OEZ","Debian/Ubuntu","schon mal programmiert, aber noch nicht in Python","C++","Versuchsauswertung mit Python / Numpy / Scipy","","",""
"2019/08/26 7:12:33 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","Java","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","","",""
"2019/08/28 8:57:36 AM OEZ","MacOS","schon mal programmiert, aber noch nicht in Python","Java;Pascal","Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib","","",""
"2019/08/28 3:21:31 PM OEZ","Was exotisches","noch nie programmiert","","Versuchsauswertung mit Python / Numpy / Scipy","","",""
"2019/08/30 10:35:54 AM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","JavaScript;Java","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","","",""
"2019/08/30 11:17:50 AM OEZ","MacOS","noch nie programmiert","","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","","",""
"2019/09/01 1:46:36 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","Java;Pascal","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","","",""
"2019/09/03 12:00:45 AM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","Java;Programmieren mit R ","Qualitativ hochwertige Plots erstellen mit Matplotlib","","",""
"2019/09/03 9:36:03 AM OEZ","MacOS","schon mal programmiert, aber noch nicht in Python","Java","Versuchsauswertung mit Python / Numpy / Scipy","","","Ja"
"2019/09/05 5:02:08 PM OEZ","Windows","schon mal programmiert, auch in Python","C++;Python;Java","Zusammenarbeiten / Versionskontrolle mit Git;Automatisierung/Reproduzierbarkeit mit Make;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","","",""
"2019/09/13 7:55:55 PM OEZ","Windows","schon mal programmiert, aber noch nicht in Python","Java","Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","","",""
