Timestamp	Betriebssystem	Programmierkenntnisse	Programmiersprachen	Mich interessieren besonders	Mich interessiert außerdem	Weitere Anmerkungen
27/09/2015 19:43:00	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	C++	Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make), Zusammenarbeit mittels Versionskontrolle (git)		
28/09/2015 19:30:43	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	c++	Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib)		
29/09/2015 13:42:10	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	C++	Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make), Zusammenarbeit mittels Versionskontrolle (git)		
01/10/2015 07:22:41	Windows	noch nie Programmiert				
01/10/2015 18:53:11	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	c++	Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make), Zusammenarbeit mittels Versionskontrolle (git)		
01/10/2015 19:06:59	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	c++	Protokolle automatisiert und reproduzierbar erstellen (make)		
01/10/2015 20:25:19	Windows	noch nie Programmiert		Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make)		
02/10/2015 17:25:51	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	C++			
03/10/2015 19:22:30	Anderes Linux	bereits in Python programmiert				Bringt den Leuten mal bei, dass man bei Achsenbeschriftungen und Tabellenüberschriften die Einheit mit "/" abtrennt, nicht mit Klammern oder sonst was. Und wie man Einheiten in Gleichungen verwendet, siehe z.B. http://karriere.rohde-schwarz.de/fileadmin/customer/downloads/PDF/Der_korrekte_Umgang_mit_Groessen_Einheiten_und_Gleichungen_bro_de_01.pdf
03/10/2015 19:58:55	Windows	noch nie Programmiert		Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make), Zusammenarbeit mittels Versionskontrolle (git)		
03/10/2015 20:35:59	Windows	noch nie Programmiert				
04/10/2015 09:42:19	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	C++	Umgang mit der Kommandozeile (bash), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make)		
04/10/2015 12:50:17	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	C++			
04/10/2015 15:02:22	Windows	noch nie Programmiert				
04/10/2015 16:05:34	Windows	noch nie Programmiert		Vernünftige Plots erstellen (Python+matplotlib), Protokolle automatisiert und reproduzierbar erstellen (make)		
04/10/2015 18:47:14	Windows	noch nie Programmiert		Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Protokolle automatisiert und reproduzierbar erstellen (make), Zusammenarbeit mittels Versionskontrolle (git)		
04/10/2015 19:18:52	Windows	noch nie Programmiert				
04/10/2015 22:47:23	Arch	bereits in Python programmiert	C#, Prolog, C++, CSS, HTML			
04/10/2015 22:47:51	Windows	noch nie Programmiert	Fortran	Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make)		
