"Zeitstempel","Betriebssystem","Programmierkentnisse","Programmiersprachen","Mich interessiert besonders","Mich interessiert außerdem","Weitere Anmerkungen"
"2017/07/06 1:19:25 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","c++","Versuchsauswertung mit Python / Numpy / Scipy;Umgang mit der Kommandozeile","",""
"2017/07/07 10:32:06 vorm. OEZ","Windows","noch nie programmiert","","Versuchsauswertung mit Python / Numpy / Scipy;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/07/07 2:20:27 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","Java","Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Qualitativ hochwertige Plots erstellen mit Matplotlib","Die neue Art und Weise Protokolle schnell und wissenschaftlich gut auswertbar zu verfassen",""
"2017/07/07 4:04:44 nachm. OEZ","Windows","noch nie programmiert","","Versuchsauswertung mit Python / Numpy / Scipy","",""
"2017/07/07 4:32:25 nachm. OEZ","Windows","noch nie programmiert","","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/07/08 2:22:17 nachm. OEZ","Debian/Ubuntu","schon mal programmiert, aber noch nicht in Python","C++, Java, Html","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/07/10 7:34:13 vorm. OEZ","Windows","noch nie programmiert","","Versuchsauswertung mit Python / Numpy / Scipy","",""
"2017/07/10 12:49:34 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++","Versuchsauswertung mit Python / Numpy / Scipy;Umgang mit der Kommandozeile","",""
"2017/07/10 9:12:43 nachm. OEZ","Debian/Ubuntu","schon mal programmiert, auch in Python","Python, java, c++","Zusammenarbeiten / Versionskontrolle mit Git;Automatisierung/Reproduzierbarkeit mit Make;Qualitativ hochwertige Plots erstellen mit Matplotlib","",""
"2017/07/10 10:37:09 nachm. OEZ","ArchLinux","schon mal programmiert, auch in Python","C++","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/07/11 8:06:43 vorm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++ und ein wenig Java","Versuchsauswertung mit Python / Numpy / Scipy","",""
