"Zeitstempel","Betriebssystem","Programmierkentnisse","Programmiersprachen","Mich interessiert besonders","Mich interessiert außerdem","Weitere Anmerkungen"
"2017/07/11 10:22:46 vorm. OEZ","Debian/Ubuntu","schon mal programmiert, aber noch nicht in Python","c++, (((java)))","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/07/11 3:07:16 nachm. OEZ","Windows","noch nie programmiert","","Versuchsauswertung mit Python / Numpy / Scipy","Da ich keine Ahnung vom Programmieren habe, ist mir wichtig, dass ich ein ein Verständnis dafür aufbaue, mit dem ich danach das Wichtigste hinbekomme. ",""
"2017/07/11 8:39:28 nachm. OEZ","Debian/Ubuntu","noch nie programmiert","","Umgang mit der Kommandozeile","Ich weiß noch nicht, was die Programme im einzelnen können und wie sehr man welche brauch. Deshalb sagen mir die Felder oben nicht so viel.",""
"2017/07/12 5:27:13 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","Java","Versuchsauswertung mit Python / Numpy / Scipy","",""
"2017/07/14 10:43:55 nachm. OEZ","Windows","noch nie programmiert","","Versuchsauswertung mit Python / Numpy / Scipy;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/07/16 8:53:50 nachm. OEZ","MacOS","noch nie programmiert","","Versuchsauswertung mit Python / Numpy / Scipy","Erlernen der Grundlagen",""
"2017/07/21 5:24:05 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","c++, Java, Autohotkey","Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib","",""
"2017/07/21 6:07:08 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++, Java","Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib","",""
"2017/07/22 4:59:46 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/07/23 10:05:55 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","Java","Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib","",""
"2017/07/24 8:03:08 nachm. OEZ","Debian/Ubuntu","noch nie programmiert","","Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/07/24 8:44:13 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++","Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/07/31 9:49:52 vorm. OEZ","MacOS","noch nie programmiert","","Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/07/31 12:29:01 nachm. OEZ","Windows","noch nie programmiert","","Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","Installation der Programme unter Windows","Physik 4 mündliche Prüfungen liegen in dieser Woche (Uhrzeiten individuell unterschiedlich)"
"2017/08/07 12:30:06 vorm. OEZ","Fedora/RedHat","schon mal programmiert, aber noch nicht in Python","Scratch","Zusammenarbeiten / Versionskontrolle mit Git;Automatisierung/Reproduzierbarkeit mit Make","",""
"2017/08/10 1:43:59 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make","",""
"2017/08/11 2:05:25 nachm. OEZ","MacOS","schon mal programmiert, aber noch nicht in Python","c++","Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/08/16 2:50:19 nachm. OEZ","Windows","noch nie programmiert","","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/08/16 4:46:02 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","Java ","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy","",""
"2017/08/16 5:42:50 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++","Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/08/16 9:26:52 nachm. OEZ","Windows","noch nie programmiert","","Umgang mit der Kommandozeile","",""
"2017/08/16 10:41:05 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/08/18 12:14:17 nachm. OEZ","Windows","noch nie programmiert","","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Umgang mit der Kommandozeile;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/08/19 10:46:29 vorm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","c++","Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","","Termin überschneidet sich mit Vorkurs, der von 12 - 14 Uhr geht."
"2017/08/19 12:09:14 nachm. OEZ","Windows","noch nie programmiert","","Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile","",""
"2017/08/22 1:32:11 nachm. OEZ","Windows","schon mal programmiert, auch in Python","Python,Java,C++,(php)","Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/08/23 12:21:55 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","Java","Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","","Am Montag Physik 2 Klausur von 15-18 Uhr"
"2017/08/24 6:18:33 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++ und Java","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy","",""
"2017/08/30 10:55:38 vorm. OEZ","MacOS","schon mal programmiert, aber noch nicht in Python","","Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/08/31 9:35:33 vorm. OEZ","MacOS","noch nie programmiert","","Versuchsauswertung mit Python / Numpy / Scipy","",""
"2017/09/01 11:07:15 vorm. OEZ","MacOS","noch nie programmiert","","Zusammenarbeiten / Versionskontrolle mit Git","",""
"2017/09/04 2:46:38 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++; Java","Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/09/04 4:40:40 nachm. OEZ","Windows","noch nie programmiert","","Zusammenarbeiten / Versionskontrolle mit Git","",""
"2017/09/04 5:04:39 nachm. OEZ","MacOS","noch nie programmiert","","Qualitativ hochwertige Plots erstellen mit Matplotlib","",""
"2017/09/04 5:11:00 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","PHP","Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/09/05 6:08:09 nachm. OEZ","Was exotisches","noch nie programmiert","","Umgang mit der Kommandozeile","",""
"2017/09/07 4:02:54 nachm. OEZ","Debian/Ubuntu","schon mal programmiert, aber noch nicht in Python","C(++), (Matlab)","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/09/07 9:42:52 nachm. OEZ","Windows","noch nie programmiert","","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/09/08 5:05:08 nachm. OEZ","Debian/Ubuntu","schon mal programmiert, aber noch nicht in Python","C++","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib","","Am 25.09. Überschneidet sich der Termin des Workshops mit dem Nachschreibtermin der Physik II - Klausur, welche sich von 15-18 Uhr erstreckt"
"2017/09/09 1:36:45 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++","Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/09/11 12:09:32 nachm. OEZ","Windows","noch nie programmiert","","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/09/11 9:58:55 nachm. OEZ","Windows","noch nie programmiert","","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/09/12 3:06:30 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","","Versuchsauswertung mit Python / Numpy / Scipy","",""
"2017/09/13 1:11:15 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","Html, php","Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/09/13 7:34:13 nachm. OEZ","Windows","noch nie programmiert","","Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/09/13 11:36:55 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++, Java","Umgang mit der Kommandozeile","Wirklich praktische, sinnvollen Dinge für die Zukunft",""
"2017/09/14 4:25:47 nachm. OEZ","MacOS","schon mal programmiert, aber noch nicht in Python","HTML, CSS ","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/09/17 9:24:27 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","Java, C++","Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/09/20 9:05:01 vorm. OEZ","MacOS","schon mal programmiert, aber noch nicht in Python","C++, Java","Versuchsauswertung mit Python / Numpy / Scipy","",""
"2017/09/20 7:40:17 nachm. OEZ","MacOS","noch nie programmiert","","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/09/20 9:50:01 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","Java/bluej","Versuchsauswertung mit Python / Numpy / Scipy","",""
"2017/09/21 2:58:09 nachm. OEZ","Windows","noch nie programmiert","","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy","",""
"2017/09/21 3:03:26 nachm. OEZ","MacOS","schon mal programmiert, aber noch nicht in Python","C++","Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/09/21 8:36:25 nachm. OEZ","Windows","noch nie programmiert","","Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/09/22 9:28:28 vorm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","Java, sql, C","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/09/22 2:08:53 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","","Qualitativ hochwertige Plots erstellen mit Matplotlib","",""
"2017/09/22 2:42:11 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/09/23 11:54:48 vorm. OEZ","Windows","noch nie programmiert","","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2017/09/24 10:41:17 vorm. OEZ","Windows","noch nie programmiert","","Zusammenarbeiten / Versionskontrolle mit Git","",""
"2017/09/24 12:15:12 nachm. OEZ","Windows","noch nie programmiert","","Versuchsauswertung mit Python / Numpy / Scipy","",""
"2017/09/24 5:49:47 nachm. OEZ","ArchLinux","schon mal programmiert, auch in Python","Haskell","Zusammenarbeiten / Versionskontrolle mit Git","Wasserpolo","Terminkollision mit den mündlichen Prüfungen"
"2017/09/24 7:33:10 nachm. OEZ","MacOS","noch nie programmiert","","Versuchsauswertung mit Python / Numpy / Scipy;Umgang mit der Kommandozeile","","Montag 25.09. 13-17 Uhr
Mittwoch 27.09. 13-17 Uhr
Mittwoch 04.10. 13-17 Uhr"
"2017/09/24 8:53:20 nachm. OEZ","Windows","schon mal programmiert, auch in Python","html, phyton","Automatisierung/Reproduzierbarkeit mit Make","",""
