"Zeitstempel","Betriebssystem","Programmierkentnisse","Programmiersprachen","Mich interessiert besonders","Mich interessiert außerdem","Weitere Anmerkungen"
"2016/09/19 10:41:24 vorm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","java","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2016/09/19 12:53:39 nachm. OEZ","MacOS","noch nie programmiert","","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","alles, was ich für mein weiteres Studium verwenden kann!","Ich finde es sehr unpassend, die Sitzungen auf 13-17 Uhr zu legen, da man so von 12-18 Uhr unterwegs ist, wodurch der ganze Tag ""im Eimer"" ist - für eine 4 stündige Veranstaltung"
"2016/09/19 2:13:06 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++, java","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2016/09/20 12:56:27 nachm. OEZ","Windows","noch nie programmiert","","Versuchsauswertung mit Python / Numpy / Scipy","",""
"2016/09/24 12:58:51 nachm. OEZ","Windows","noch nie programmiert","","Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2016/09/24 5:14:44 nachm. OEZ","Windows","noch nie programmiert","","Umgang mit der Kommandozeile","",""
"2016/09/25 8:05:17 nachm. OEZ","Windows","noch nie programmiert","","Versuchsauswertung mit Python / Numpy / Scipy","",""
"2016/09/26 8:24:19 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++, Java","Versuchsauswertung mit Python / Numpy / Scipy;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2016/09/27 6:48:37 nachm. OEZ","ArchLinux","schon mal programmiert, auch in Python","C++, C, Java, Bash","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2016/09/29 11:27:22 vorm. OEZ","Debian/Ubuntu","schon mal programmiert, auch in Python","Python, C++, Java","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile","",""
"2016/10/01 1:09:45 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++, Java, Q-Basic, Pascal","Versuchsauswertung mit Python / Numpy / Scipy;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","alles was das Schreiben leichter macht",""
"2016/10/02 12:46:49 nachm. OEZ","Debian/Ubuntu","schon mal programmiert, aber noch nicht in Python","C++, Java, AutoHotkey","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
"2016/10/02 4:38:37 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","C++","Umgang mit der Kommandozeile","",""
"2016/10/03 4:07:50 nachm. OEZ","Debian/Ubuntu","schon mal programmiert, aber noch nicht in Python","C++","Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile","",""
"2016/10/03 5:27:59 nachm. OEZ","Windows","schon mal programmiert, aber noch nicht in Python","c++","Zusammenarbeiten / Versionskontrolle mit Git;Versuchsauswertung mit Python / Numpy / Scipy;Automatisierung/Reproduzierbarkeit mit Make;Umgang mit der Kommandozeile;Qualitativ hochwertige Plots erstellen mit Matplotlib;Automatisierung der Fehlerrechnung mit Uncertainties und SymPy","",""
