# h,sigma_h,Fi,sigma_Fi,Ff,sigma_Ff
4.5,0.5,1018,1,1083,1
4.5,0.5,1189,1,1248,1
4.5,0.5,1340,1,1404,1
10,0.5,596,1,636,1
10,0.5,762,1,801,1
10,0.5,882,1,921,1
15,0.5,574,1,605,1
15,0.5,766,1,798,1
15,0.5,863,1,896,1
20,0.5,679,1,707,1
20,0.5,810,1,838,1
20,0.5,930,1,959,1
25,0.5,650,1,674,1
25,0.5,892,1,917,1
25,0.5,804,1,827,1
30,0.5,642,1,664,1
30,0.5,739,1,760,1
30,0.5,900,1,922,1

# Messreihe: Zylinder
# Höhe(h/cm), Startframe(Fi/1), Endframe(Ff/1)
