# h,sigma_h,Fi,sigma_Fi,Ff,sigma_Ff
4.5,0.5,436,1,492,1
4.5,0.5,555,1,610,1
4.5,0.5,672,1,729,1
10,0.5,95,1,130,1
10,0.5,199,1,235,1
10,0.5,303,1,338,1
15,0.5,91,1,119,1
15,0.5,201,1,229,1
15,0.5,335,1,362,1
20,0.5,232,1,256,1
20,0.5,323,1,347,1
20,0.5,397,1,421,1
25,0.5,153,1,174,1
25,0.5,239,1,260,1
25,0.5,322,1,343,1
30,0.5,219,1,238,1
30,0.5,319,1,338,1
30,0.5,391,1,412,1
# Messreihe: Kugel
# Höhe(h/cm), Startframe(Fi/1), Endframe(Ff/1)
