"Zeitstempel","Betriebssystem","Erfahrung mit LaTeX","Mich interessiert besonders","Mich interessiert außerdem","Weitere Anmerkungen"
"2018/07/13 10:17:24 AM OEZ","Windows","TeXpert","Korrektes Zitieren und erstellen von Literaturverzeichnissen","",""
"2018/07/13 11:55:00 AM OEZ","Windows","noch nie von gehört","Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2018/07/19 12:06:27 PM OEZ","Windows","schon mal ausprobiert","Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2018/07/19 6:06:28 PM OEZ","Debian/Ubuntu","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2018/07/20 11:13:15 AM OEZ","Debian/Ubuntu","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2018/07/22 5:48:04 PM OEZ","Windows","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen","",""
"2018/07/23 9:45:40 PM OEZ","Windows","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2018/07/26 10:19:02 AM OEZ","Windows","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2018/07/26 4:00:57 PM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2018/07/30 10:34:21 AM OEZ","Windows","schon mal ausprobiert","Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2018/08/01 12:02:05 PM OEZ","Windows","schon mal ausprobiert","Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2018/08/05 12:23:14 PM OEZ","MacOS","schon mal ausprobiert","Formelsatz;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2018/08/07 12:08:07 PM OEZ","MacOS","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2018/08/07 5:30:40 PM OEZ","Windows","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2018/08/07 5:44:17 PM OEZ","Windows","schon mal ausprobiert","Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen","",""
"2018/08/12 1:25:39 PM OEZ","Windows","noch nie von gehört","Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2018/08/16 9:46:09 AM OEZ","Debian/Ubuntu","schon mal ausprobiert","Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2018/08/20 2:10:36 PM OEZ","Windows","noch nie von gehört","Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2018/08/26 1:09:27 PM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz","",""
