"Zeitstempel","Betriebssystem","Erfahrung mit LaTeX","Mich interessiert besonders","Mich interessiert außerdem","Weitere Anmerkungen"
"2018/08/26 3:43:57 PM OEZ","MacOS","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2018/08/27 3:48:48 PM OEZ","Windows","noch nie von gehört","Erstellen von Zeichnungen in TeX mit TikZ","",""
"2018/08/29 11:17:49 AM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2018/08/30 1:52:51 PM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2018/08/31 8:08:44 PM OEZ","Windows","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2018/09/03 1:12:18 AM OEZ","MacOS","TeXpert","Erstellen von Zeichnungen in TeX mit TikZ","",""
"2018/09/04 5:44:05 PM OEZ","Windows","schon mal ausprobiert","Formelsatz;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","Eingabe Terminal mit Rechtschreibprüfung",""
"2018/09/05 2:15:46 PM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2018/09/05 10:09:49 PM OEZ","Windows","noch nie von gehört","Formelsatz;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2018/09/06 11:45:38 AM OEZ","Windows","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","Wirklich wissenschaftliche Formatarbeit",""
"2018/09/07 7:50:05 PM OEZ","MacOS","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen","",""
"2018/09/10 7:54:58 PM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2018/09/13 3:09:27 PM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2018/09/15 4:12:44 AM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2018/09/15 2:24:34 PM OEZ","Windows","noch nie von gehört","Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2018/09/15 6:05:48 PM OEZ","Debian/Ubuntu","schon mal ausprobiert","Textsatz;Formelsatz","",""
"2018/09/16 8:48:21 AM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen","",""
"2018/09/16 12:24:41 PM OEZ","Windows","noch nie von gehört","Textsatz","",""
"2018/09/17 9:45:11 AM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2018/09/21 2:31:56 PM OEZ","Debian/Ubuntu","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2018/09/21 11:34:51 PM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2018/09/21 11:34:57 PM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2018/09/21 11:38:42 PM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2018/09/22 2:33:51 PM OEZ","Windows","noch nie von gehört","Erstellen von Zeichnungen in TeX mit TikZ","",""
"2018/09/23 10:06:05 PM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2018/09/23 10:44:39 PM OEZ","Windows","schon mal ausprobiert","Formelsatz;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2018/09/24 10:32:02 AM OEZ","MacOS","schon mal ausprobiert","Formelsatz","",""
"2018/09/26 1:48:32 PM OEZ","MacOS","noch nie von gehört","Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2018/09/27 12:24:36 PM OEZ","Debian/Ubuntu","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2018/09/28 7:54:16 AM OEZ","Windows","schon mal ausprobiert","Formelsatz;Korrektes Zitieren und erstellen von Literaturverzeichnissen","",""
"2018/09/28 12:59:18 PM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Erstellen von Zeichnungen in TeX mit TikZ","",""
