"Zeitstempel","Betriebssystem","Erfahrung mit LaTeX","Mich interessiert besonders","Mich interessiert außerdem","Weitere Anmerkungen"
"2016/08/05 3:54:26 nachm. OEZ","Windows","schon mal ausprobiert","Textsatz;Formelsatz;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2016/08/08 9:08:39 nachm. OEZ","Windows","noch nie von gehört","Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen","",""
"2016/08/12 10:45:12 nachm. OEZ","Windows","schon mal ausprobiert","Textsatz;Formelsatz","",""
"2016/08/15 4:06:48 nachm. OEZ","Fedora/RedHat","TeXpert","Formelsatz","tikz-feynman",""
"2016/08/16 6:13:42 nachm. OEZ","MacOS","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2016/08/23 9:34:18 vorm. OEZ","Windows","schon mal ausprobiert","Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2016/08/28 11:31:31 nachm. OEZ","MacOS","noch nie von gehört","Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen","",""
"2016/08/30 11:47:54 vorm. OEZ","Windows","schon mal ausprobiert","Textsatz;Formelsatz;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2016/08/31 11:34:48 vorm. OEZ","Windows","schon mal ausprobiert","Erstellen von Zeichnungen in TeX mit TikZ","",""
"2016/09/01 5:42:26 nachm. OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2016/09/04 12:37:53 nachm. OEZ","Debian/Ubuntu","noch nie von gehört","Textsatz;Formelsatz;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2016/09/04 5:59:48 nachm. OEZ","Debian/Ubuntu","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2016/09/05 3:32:16 nachm. OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2016/09/07 4:32:47 nachm. OEZ","Windows","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2016/09/07 5:49:52 nachm. OEZ","Windows","noch nie von gehört","Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2016/09/18 9:26:40 nachm. OEZ","Debian/Ubuntu","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2016/09/19 10:44:17 vorm. OEZ","Windows","TeXpert","Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2016/09/19 12:55:47 nachm. OEZ","MacOS","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2016/09/19 2:13:41 nachm. OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
