"Zeitstempel","Betriebssystem","Erfahrung mit LaTeX","Mich interessiert besonders","Mich interessiert außerdem","Weitere Anmerkungen"
"2019/06/25 8:19:08 AM OEZ","Windows","schon mal ausprobiert","Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/06/25 9:39:55 AM OEZ","Windows","schon mal ausprobiert","Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2019/06/25 1:34:59 PM OEZ","Windows","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","Latex Code für Tabellen und Graphen mit Python",""
"2019/07/03 7:09:40 PM OEZ","Debian/Ubuntu","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/07/04 12:28:34 AM OEZ","MacOS","schon mal ausprobiert","Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/07/05 5:01:11 PM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen","",""
"2019/07/05 6:13:10 PM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/07/07 11:52:41 AM OEZ","Windows","noch nie von gehört","Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2019/07/07 12:28:54 PM OEZ","Windows","schon mal ausprobiert","Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/07/11 10:39:18 AM OEZ","MacOS","noch nie von gehört","Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2019/07/11 10:39:22 AM OEZ","MacOS","noch nie von gehört","Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2019/07/11 10:54:23 AM OEZ","Windows","noch nie von gehört","Formelsatz;Korrektes Zitieren und erstellen von Literaturverzeichnissen","",""
"2019/07/11 10:57:14 AM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2019/07/12 9:45:21 AM OEZ","Windows","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen","",""
"2019/07/12 10:37:46 AM OEZ","ArchLinux","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2019/07/12 12:28:42 PM OEZ","MacOS","schon mal ausprobiert","Erstellen von Zeichnungen in TeX mit TikZ","",""
"2019/07/15 4:58:08 PM OEZ","Debian/Ubuntu","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2019/07/16 11:16:16 AM OEZ","MacOS","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/07/16 8:31:36 PM OEZ","Windows","noch nie von gehört","Formelsatz","",""
"2019/07/18 5:28:55 PM OEZ","MacOS","schon mal ausprobiert","Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen","",""
"2019/07/19 2:46:24 PM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/07/19 5:15:21 PM OEZ","Debian/Ubuntu","TeXpert","Textsatz;Formelsatz","",""
"2019/07/19 8:46:13 PM OEZ","MacOS","schon mal ausprobiert","Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/07/19 8:49:41 PM OEZ","MacOS","noch nie von gehört","Textsatz;Formelsatz","",""
"2019/07/19 9:55:45 PM OEZ","Debian/Ubuntu","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/07/19 10:00:37 PM OEZ","Windows","noch nie von gehört","Formelsatz;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/07/19 10:11:38 PM OEZ","Debian/Ubuntu","noch nie von gehört","Formelsatz;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2019/07/19 10:13:13 PM OEZ","Windows","schon mal ausprobiert","Formelsatz","",""
"2019/07/21 9:04:11 PM OEZ","Windows","noch nie von gehört","Formelsatz;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2019/07/22 2:03:29 PM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/07/26 11:47:39 PM OEZ","MacOS","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
