"Zeitstempel","Betriebssystem","Erfahrung mit LaTeX","Mich interessiert besonders","Mich interessiert außerdem","Weitere Anmerkungen"
"2019/07/27 6:07:05 PM OEZ","Windows","noch nie von gehört","Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen","",""
"2019/07/28 9:51:36 AM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/07/31 7:02:04 PM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2019/08/02 10:24:04 AM OEZ","Windows","schon mal ausprobiert","Formelsatz;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/08/06 4:25:13 PM OEZ","Windows","noch nie von gehört","Formelsatz;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2019/08/14 12:22:03 PM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/08/14 7:33:42 PM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/08/18 11:52:48 PM OEZ","Windows","noch nie von gehört","Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen","",""
"2019/08/19 12:50:42 PM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","Ich muss alles lernen ",""
"2019/08/19 12:50:56 PM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/08/20 5:21:10 PM OEZ","Windows","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/08/21 4:48:54 PM OEZ","Debian/Ubuntu","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/08/25 6:28:43 PM OEZ","Debian/Ubuntu","noch nie von gehört","Formelsatz","",""
"2019/08/26 7:13:28 PM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/08/26 7:14:47 PM OEZ","Windows","noch nie von gehört","Formelsatz;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","","Terminkollisionen = 24.09 Klausur Höhere Mathematik 2, 25.09 Experimentalphysik 2 "
"2019/08/28 3:22:16 PM OEZ","Was exotisches","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen","",""
"2019/08/30 11:18:57 AM OEZ","MacOS","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen","",""
"2019/09/01 1:47:01 PM OEZ","Windows","schon mal ausprobiert","Formelsatz;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/09/03 12:01:22 AM OEZ","Windows","noch nie von gehört","Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/09/03 9:36:47 AM OEZ","MacOS","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2019/09/05 5:02:58 PM OEZ","Windows","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2019/09/13 7:56:32 PM OEZ","Windows","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/09/17 9:58:19 AM OEZ","Debian/Ubuntu","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2019/09/17 4:47:08 PM OEZ","MacOS","schon mal ausprobiert","Formelsatz;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2019/09/18 5:06:13 PM OEZ","Windows","noch nie von gehört","Formelsatz","",""
"2019/09/19 10:49:56 PM OEZ","Debian/Ubuntu","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen","",""
"2019/09/20 1:11:58 AM OEZ","Windows","schon mal ausprobiert","Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2019/09/20 11:52:57 AM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/09/20 12:57:20 PM OEZ","Debian/Ubuntu","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/09/21 12:26:15 AM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz","",""
"2019/09/22 10:42:12 AM OEZ","MacOS","schon mal ausprobiert","Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/09/22 1:28:03 PM OEZ","Debian/Ubuntu","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/09/22 3:49:49 PM OEZ","Debian/Ubuntu","schon mal ausprobiert","Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen","",""
"2019/09/22 3:59:13 PM OEZ","Windows","schon mal ausprobiert","Formelsatz","",""
"2019/09/22 5:18:54 PM OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2019/09/24 1:44:29 PM OEZ","Debian/Ubuntu","TeXpert","Korrektes Zitieren und erstellen von Literaturverzeichnissen","",""
