Timestamp	Betriebssystem	Erfahrung mit LaTeX	Mich interessiert besonders	Weitere Anmerkungen
11/07/2015 22:04:58	Windows	mal probiert		
13/07/2015 14:13:57	Arch	TeXpert	Alles :)	
13/07/2015 14:14:06	Windows	noch nie gehört		
13/07/2015 14:14:12	Windows	noch nie gehört		
13/07/2015 16:04:04	Windows	noch nie gehört		
17/07/2015 10:39:35	Windows	noch nie gehört		
20/07/2015 16:21:18	Windows	mal probiert		
21/07/2015 02:34:00	Windows	noch nie gehört		
21/07/2015 22:09:06	Windows	noch nie gehört		Ggf. Physik Vorkurs Übungen
22/07/2015 12:04:48	Arch	TeXpert		
24/07/2015 11:01:51	Windows	mal probiert		
24/07/2015 18:26:00	Windows	noch nie gehört		
26/07/2015 21:51:28	Ubuntu	noch nie gehört		
28/07/2015 10:21:16	Windows	mal probiert		
28/07/2015 16:56:31	Windows	noch nie gehört		
30/07/2015 20:26:47	Windows	noch nie gehört		
07/08/2015 10:52:00	Windows	noch nie gehört		
09/08/2015 15:16:35	Windows	noch nie gehört		
09/08/2015 22:48:21	Windows	mal probiert		
20/08/2015 17:05:46	OS X	noch nie gehört		Für alle die in der O-Phase mithelfen:   Infocafé am 13.10. ab 12.00Uhr ( geplant bis 15.00Uhr)
27/08/2015 18:19:27	Ubuntu	noch nie gehört	Arbeitserleichterungen	
31/08/2015 19:25:25	Windows	mal probiert		
03/09/2015 10:10:15	Ubuntu	TeXpert	- Weiterführende Tricks, wissenswerte und nützliche Pakete - Präsentationen mit beamer - \pagestyle{fancy}	
03/09/2015 21:05:02	Windows	mal probiert	... das Einbinden von Grafiken und die Erstellung von Plots.	
05/09/2015 16:32:12	Windows	noch nie gehört		Ich werde Dienstag früher gehen müssen (etwa 15:45 Uhr).
06/09/2015 10:00:13	Windows	mal probiert		
08/09/2015 22:58:32	Windows	noch nie gehört	Plots, Graphen und Fomeln erstellen zu können	
09/09/2015 13:30:52	Windows	noch nie gehört		
09/09/2015 14:17:46	OS X	noch nie gehört		
11/09/2015 18:00:21	OS X	noch nie gehört	Wie ich damit die Protokolle fürs Praktikum machen kann	
17/09/2015 20:48:55	Windows	noch nie gehört		
18/09/2015 12:55:38	Windows	noch nie gehört		
18/09/2015 12:58:46	Windows	mal probiert		
18/09/2015 16:11:12	Windows	noch nie gehört		
20/09/2015 22:07:53	Windows	mal probiert	Ordentliche Ausarbeitung von Protokollen, Präsentationen und aller Art wissenschaftlicher Arbeiten	
22/09/2015 19:27:57	Windows	noch nie gehört		
22/09/2015 21:49:47	Windows	mal probiert		
22/09/2015 22:59:37	Windows	mal probiert		
27/09/2015 19:43:34	Windows	noch nie gehört		
28/09/2015 19:30:56	Windows	noch nie gehört		
30/09/2015 14:55:28	Windows	noch nie gehört		
01/10/2015 07:22:11	Windows	noch nie gehört		
01/10/2015 18:53:29	Windows	noch nie gehört		
02/10/2015 15:32:56	Windows	mal probiert		
02/10/2015 17:26:18	Windows	noch nie gehört		
03/10/2015 12:12:32	OS X	mal probiert		
03/10/2015 20:03:39	Windows	noch nie gehört		
03/10/2015 20:36:19	Windows	noch nie gehört		
04/10/2015 09:43:31	Windows	noch nie gehört	...wie man wissenschaftliche TExte und/oder eben Protokolle gut mit LaTeX verfassen kann.	
04/10/2015 16:05:51	Windows	noch nie gehört		
04/10/2015 18:47:45	Windows	noch nie gehört		
04/10/2015 19:19:07	Windows	mal probiert		
04/10/2015 22:48:34	Windows	TeXpert	diverse Abbildungen einbinden	
