"Zeitstempel","Betriebssystem","Erfahrung mit LaTeX","Mich interessiert besonders","Mich interessiert außerdem","Weitere Anmerkungen"
"2017/07/06 1:20:51 nachm. OEZ","Windows","noch nie von gehört","Formelsatz;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2017/07/07 10:33:24 vorm. OEZ","Windows","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2017/07/07 2:22:23 nachm. OEZ","Windows","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","Wie man Word und vergleichbare Programme umgehen kann, indem man LaTex oder ähnliches benutzt",""
"2017/07/07 4:05:42 nachm. OEZ","Windows","noch nie von gehört","Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2017/07/07 4:32:47 nachm. OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2017/07/08 2:23:47 nachm. OEZ","Debian/Ubuntu","noch nie von gehört","Formelsatz;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2017/07/10 7:34:48 vorm. OEZ","Windows","noch nie von gehört","Formelsatz","",""
"2017/07/10 12:50:37 nachm. OEZ","Windows","noch nie von gehört","Formelsatz;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2017/07/10 9:18:21 nachm. OEZ","Debian/Ubuntu","TeXpert","Korrektes Zitieren und erstellen von Literaturverzeichnissen","Eigene Klassen etc erstellen, evtl. integration von Latex und Mathematischen tools wie SageMath/den Python Lösungen, die ihr vorstellt",""
"2017/07/10 10:36:33 nachm. OEZ","ArchLinux","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2017/07/11 8:08:23 vorm. OEZ","Windows","noch nie von gehört","Formelsatz","",""
"2017/07/11 10:23:26 vorm. OEZ","Debian/Ubuntu","schon mal ausprobiert","Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2017/07/11 3:09:31 nachm. OEZ","Windows","noch nie von gehört","Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2017/07/11 8:42:56 nachm. OEZ","Debian/Ubuntu","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2017/07/12 5:28:11 nachm. OEZ","Windows","noch nie von gehört","Formelsatz","",""
